[ 2025-11-19 06:43:35,983 ] - 18 - root - INFO - Initiate the data ingestion
[ 2025-11-19 06:43:42,394 ] - 66 - root - INFO - Performed train test split on the dataframe
[ 2025-11-19 06:43:42,394 ] - 68 - root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-11-19 06:43:42,394 ] - 73 - root - INFO - Exporting train and test file path
[ 2025-11-19 06:43:42,421 ] - 83 - root - INFO - Exported train and test file path
[ 2025-11-19 06:43:42,421 ] - 20 - root - INFO - Data Initiated successfully
[ 2025-11-19 06:43:42,423 ] - 24 - root - INFO - Initiate the data validation
[ 2025-11-19 06:43:42,437 ] - 33 - root - INFO - Required number of columns:2
[ 2025-11-19 06:43:42,437 ] - 34 - root - INFO - Data frame has columns:31
[ 2025-11-19 06:43:42,438 ] - 33 - root - INFO - Required number of columns:2
[ 2025-11-19 06:43:42,438 ] - 34 - root - INFO - Data frame has columns:31
[ 2025-11-19 06:43:42,505 ] - 26 - root - INFO - Data Validation successfully
[ 2025-11-19 06:43:42,505 ] - 29 - root - INFO - Data transformation started
[ 2025-11-19 06:43:42,505 ] - 63 - root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-11-19 06:43:42,505 ] - 65 - root - INFO - Starting data transformation
[ 2025-11-19 06:43:42,520 ] - 49 - root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-11-19 06:43:42,520 ] - 54 - root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-11-19 06:43:42,527 ] - 45 - root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-19 06:43:42,528 ] - 49 - root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-19 06:43:42,528 ] - 45 - root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-19 06:43:42,529 ] - 49 - root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-19 06:43:42,529 ] - 33 - root - INFO - Data transformation completed
[ 2025-11-19 06:43:42,529 ] - 35 - root - INFO - Model Training sstared
[ 2025-11-19 06:45:34,176 ] - 45 - root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-19 06:45:34,177 ] - 49 - root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-19 06:45:34,177 ] - 45 - root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-19 06:45:34,192 ] - 49 - root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-19 06:45:34,192 ] - 130 - root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\11_19_2025_06_43_35\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9915693245302184, precision_score=0.9910659898477158, recall_score=0.9920731707317073), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9721661960467931, precision_score=0.9702093397745571, recall_score=0.9741309620048505))
[ 2025-11-19 06:45:34,194 ] - 41 - root - INFO - Model Training artifact created
